keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
10,0.2868,272,0.1255,0.1045,28.68
9,0.3493,272,0.117,0.115,34.93
3,0.4921,380,0.0727,0.0642,49.21
2,0.5152,462,0.0669,0.0778,51.519999999999996
8,0.5699,272,0.0802,0.0912,56.989999999999995
6,0.6212,132,0.0739,0.0974,62.12
7,0.6515,132,0.0696,0.0868,65.14999999999999
13,0.6976,506,0.0536,0.0689,69.76
5,0.7333,210,0.0644,0.1012,73.33
1,0.7569,506,0.0601,0.0946,75.69
4,0.7807,342,0.0398,0.0426,78.07
0,0.8211,380,0.0709,0.1423,82.11
