keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
9,0.3626,182,0.2509,0.2156,36.26
8,0.4917,240,0.2311,0.2349,49.17
17,0.5048,210,0.1148,0.102,50.480000000000004
16,0.5588,272,0.1144,0.1313,55.879999999999995
10,0.5962,156,0.1019,0.0966,59.62
11,0.6238,210,0.1099,0.1295,62.38
6,0.625,272,0.1148,0.1482,62.5
7,0.6667,240,0.104,0.1514,66.67
14,0.7143,56,0.075,0.0506,71.43
13,0.7321,56,0.1005,0.1141,73.21
4,0.7952,210,0.0663,0.0739,79.52
12,0.8214,56,0.0851,0.1092,82.14
18,0.8242,182,0.057,0.0661,82.42
5,0.825,240,0.0573,0.072,82.5
3,0.8429,420,0.0456,0.0826,84.28999999999999
2,0.8658,380,0.0506,0.0635,86.58
0,0.9004,462,0.0471,0.0991,90.03999999999999
15,0.9048,42,0.0532,0.0401,90.48
1,0.9064,342,0.0285,0.0402,90.64
22,0.915,306,0.045,0.0692,91.5
23,0.9177,462,0.0473,0.1251,91.77
19,0.9722,72,0.0341,0.0274,97.22
20,0.9773,132,0.0347,0.0262,97.72999999999999
24,0.9853,272,0.0244,0.067,98.53
21,1.0,30,0.0298,0.0149,100.0
