keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
1,0.1784,342,0.1528,0.1255,17.84
3,0.1792,240,0.1361,0.0949,17.919999999999998
7,0.2197,132,0.1392,0.1199,21.97
2,0.2427,342,0.1508,0.1301,24.27
4,0.2458,240,0.1166,0.0802,24.58
6,0.3462,182,0.1688,0.1599,34.62
8,0.3485,132,0.1114,0.1008,34.849999999999994
5,0.3627,306,0.1754,0.178,36.27
11,0.3654,156,0.1886,0.19,36.54
10,0.3667,90,0.1219,0.1143,36.67
12,0.375,72,0.1548,0.1617,37.5
9,0.3778,90,0.0941,0.0723,37.78
0,0.44,600,0.1785,0.2075,44.0
13,0.6385,462,0.1193,0.1861,63.849999999999994
