keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
10,0.3713,272,0.1103,0.1151,37.13
12,0.4725,182,0.0992,0.1207,47.25
11,0.5196,306,0.1007,0.13,51.959999999999994
0,0.5333,30,0.056,0.0418,53.33
13,0.5385,156,0.0967,0.1454,53.849999999999994
16,0.5458,306,0.0698,0.0824,54.58
14,0.5476,42,0.0981,0.1344,54.76
18,0.5952,42,0.078,0.0944,59.519999999999996
2,0.6265,506,0.0493,0.0563,62.64999999999999
17,0.6438,306,0.063,0.0867,64.38000000000001
4,0.7088,182,0.0549,0.0729,70.88
5,0.7167,240,0.064,0.115,71.67
1,0.7381,42,0.0481,0.0475,73.81
8,0.7381,462,0.0658,0.1173,73.81
3,0.7576,462,0.039,0.0423,75.76
6,0.781,210,0.0508,0.0882,78.10000000000001
19,0.7857,42,0.0696,0.1391,78.57
15,0.8242,182,0.0474,0.0835,82.42
7,0.8297,182,0.0469,0.086,82.97
9,0.8315,552,0.0363,0.0509,83.15
