keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
2,0.5801,462,0.1009,0.1178,58.01
3,0.5842,380,0.1067,0.1254,58.42
12,0.5897,156,0.1021,0.1069,58.97
19,0.6071,56,0.1115,0.1165,60.709999999999994
1,0.6238,210,0.0818,0.0854,62.38
11,0.6667,156,0.0864,0.089,66.67
0,0.7208,240,0.0592,0.0765,72.08
20,0.7889,90,0.0778,0.0953,78.89
10,0.7982,342,0.0606,0.0638,79.82000000000001
17,0.8194,72,0.0601,0.0727,81.94
9,0.8431,306,0.0562,0.0592,84.31
16,0.8693,306,0.0497,0.0563,86.92999999999999
5,0.8824,306,0.0462,0.055,88.24
4,0.9143,420,0.0412,0.0495,91.43
18,0.9273,110,0.0388,0.0437,92.73
15,0.9281,306,0.0392,0.0333,92.81
14,0.9333,210,0.0412,0.0377,93.33
7,0.9474,342,0.0261,0.0285,94.74000000000001
8,0.9654,462,0.0294,0.0388,96.54
6,0.9881,420,0.0231,0.0286,98.81
13,1.0,6,0.0431,0.0214,100.0
