keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
8,0.7619,42,0.1404,0.1743,76.19
1,0.7667,90,0.1004,0.1005,76.67
7,0.78,600,0.1208,0.1309,78.0
10,0.8141,156,0.1247,0.1346,81.41000000000001
6,0.875,600,0.0668,0.1026,87.5
0,0.9011,182,0.0728,0.0841,90.11
3,0.9083,240,0.0964,0.0738,90.83
11,0.9143,420,0.063,0.1184,91.43
9,0.9167,72,0.0923,0.1058,91.67
5,0.9176,182,0.0671,0.1219,91.75999999999999
12,0.9375,240,0.0652,0.0772,93.75
2,0.9412,306,0.0679,0.0656,94.12
4,0.989,272,0.0274,0.0355,98.9
