keypoint_id,accuracy,count,avg_distance,std_distance,accuracy_pct
2,0.6083,702,0.1049,0.1039,60.83
5,0.609,156,0.1344,0.1655,60.9
10,0.6141,552,0.0901,0.082,61.41
4,0.6176,272,0.1308,0.1479,61.760000000000005
1,0.6325,702,0.0969,0.0944,63.24999999999999
3,0.6368,702,0.1041,0.0983,63.68000000000001
7,0.6439,132,0.1143,0.1275,64.39
0,0.6453,702,0.0942,0.0956,64.53
11,0.6779,506,0.0847,0.0835,67.78999999999999
8,0.6833,600,0.0821,0.0754,68.33
16,0.7365,702,0.0637,0.0631,73.65
9,0.7517,600,0.0724,0.076,75.17
6,0.7967,182,0.0687,0.0709,79.67
17,0.8405,702,0.0466,0.0578,84.05
15,0.8509,342,0.0534,0.053,85.09
14,0.8693,306,0.0511,0.0522,86.92999999999999
13,0.8786,420,0.0497,0.0484,87.86
12,0.9368,380,0.0368,0.0456,93.67999999999999
